Avg Packet Size,Std. deviation of packet size,Total Bytes,AVG. IAT(ms),Std. daviation of IAT(ms),Flow duration(SECONDS),Push_flag_cnt,Avg_wind_size,Class
1495,71.056315694,1495707,1.09,1.440547,1.087296,3,30015,multimedia
1495,71.6030725598,1495423,1.13,2.199093,1.129739,4,30015,multimedia
1495,71.1055553385,1495617,1.16,4.046448,1.160764,4,30015,multimedia
1495,71.056315694,1495707,1.19,3.776663,1.184464,3,30015,multimedia
1495,71.6030725598,1495423,1.45,3.474218,1.446343,4,30015,multimedia
1495,71.6030725598,1495423,1.07,1.674709,1.071221,4,30015,multimedia
1495,71.056315694,1495707,1.27,2.191704,1.273069,3,30015,multimedia
1495,71.056315694,1495707,1.16,1.970656,1.161644,3,30015,multimedia
1495,71.6030725598,1495423,2.02,10.991621,2.020092,4,30015,multimedia
1495,71.6030725598,1495423,1.14,1.842939,1.141315,4,30015,multimedia
1493,84.36824047,1493913,1.08,2.16287,1.08264,5,30015,multimedia
1495,71.6030725598,1495423,1.24,2.287755,1.234503,4,30015,multimedia
1495,71.6030725598,1495423,1.12,1.886087,1.11816,4,30015,multimedia
1495,71.6449579524,1495419,1.25,2.408613,1.243951,4,30015,multimedia
1493,84.7525810816,1493469,1.16,2.199566,1.155535,7,30015,multimedia
1495,71.0985231914,1495703,1.08,1.783855,1.081036,3,30015,multimedia
1495,72.4775827411,1495253,1.08,1.622598,1.078423,4,30015,multimedia
1493,86.1452262171,1493185,1.2,1.607652,1.195677,7,30015,multimedia
1495,71.0985231914,1495703,1.63,17.965574,1.630511,3,30015,multimedia
1493,84.7525810816,1493469,1.51,10.539133,1.506932,7,30015,multimedia
1496,66.3324958071,1496516,1.76,5.591617,1.76012,2,30015,multimedia
1494,74.0742870367,1494765,1.23,1.933487,1.230471,5,30015,multimedia
1495,71.0985231914,1495703,1.07,1.541751,1.069665,3,30015,multimedia
1494,75.5711585196,1494889,1.06,1.625669,1.057327,4,30015,multimedia
1495,71.6449579524,1495419,1.1,1.702295,1.099315,4,30015,multimedia
1495,71.6449579524,1495419,1.23,1.805252,1.231763,4,30015,multimedia
1495,71.6449579524,1495419,1.09,1.520986,1.087183,4,30015,multimedia
1495,71.6449579524,1495419,1.08,1.448742,1.083562,4,30015,multimedia
1491,96.3535157636,1491514,4.32,48.195777,4.315242,39,38247,multimedia
1488,123.024387826,1488281,3.11,26.667146,3.110412,35,35059,multimedia
1497,57.8273291792,1497001,4.14,31.294114,4.138528,27,40498,multimedia
1497,54.881690936,1497568,4.35,33.523635,4.348532,50,40110,multimedia
1467,199.183332636,1467878,56.77,432.761807,56.714458,70,40313,multimedia
1483,144.01041629,1483488,19.27,137.868767,19.249775,68,35084,multimedia
1483,142.982516414,1483159,2.79,22.283189,2.787187,37,39933,multimedia
1491,100.841459728,1491034,3.44,32.309249,3.434045,36,40522,multimedia
1491,95.5353337776,1491455,3.05,31.674388,3.046755,32,39495,multimedia
1489,103.927859595,1489788,3.69,35.469919,3.682514,41,40004,multimedia
1494,75.4320886626,1494855,4.13,57.143487,4.126955,33,38292,multimedia
1497,47.6025209416,1497484,3.21,10.107311,3.211496,33,39533,multimedia
1481,152.787434038,1481441,9.15,91.14243,9.145636,9,41673,multimedia
1486,131.167831422,1486081,2.19,11.346707,2.186142,8,45423,multimedia
1492,99.1413132856,1492369,2.44,20.651338,2.440219,24,31227,multimedia
1492,103.126136357,1492050,2.98,42.22377,2.978582,19,31291,multimedia
1494,103.547090737,1494929,8.87,230.018269,8.864883,23,31227,multimedia
1492,98.2395032561,1492033,3.23,25.238771,3.230145,29,31195,multimedia
1490,107.275346655,1490585,3.72,41.360723,3.717357,36,31163,multimedia
1493,113.044239128,1493489,1.83,18.718584,1.830932,21,31097,multimedia
1489,109.836241742,1489137,5.67,32.144605,5.667834,57,31227,multimedia
1493,87.2754260946,1493997,1.34,9.797804,1.343188,8,29999,multimedia
1441,215.995370321,1441846,6.88,37.7068,6.870824,169,35031,multimedia
1492,88.4307638777,1492821,1.88,25.50569,1.874618,17,30241,multimedia
1488,119.549153071,1488770,6.87,33.83472,6.86436,6,30262,multimedia
1479,168.718700801,1479442,8.58,36.343231,8.575316,8,30055,multimedia
1492,91.6406023551,1492866,6.45,67.653044,6.439185,5,30210,multimedia
1488,129.197523196,1488787,5.89,39.337159,5.880916,13,30156,multimedia
1479,153.642442053,1479442,17.52,307.158633,17.506671,20,30314,multimedia
1486,116.26693425,1486742,22.9,562.866734,22.87785,37,30314,multimedia
1482,137.138616006,1482930,18.18,388.178766,18.1628,38,30262,multimedia
1484,134.777594577,1484789,73.22,1556.441149,73.144877,38,16697,multimedia
1478,148.1553239,1478570,8.39,37.536379,8.384159,54,15774,multimedia
1482,130.694299799,1482962,6.82,32.249482,6.808282,44,15646,multimedia
1484,134.037308239,1484795,90.45,1785.681688,90.35878,45,16857,multimedia
1476,163.257465373,1476909,104.01,2016.882342,103.901993,44,16792,multimedia
1477,152.065775242,1477966,8.65,36.978566,8.641191,56,15806,multimedia
1471,177.330200474,1471319,108.3,2029.31222,108.187904,57,16919,multimedia
1480,146.010273611,1480533,8.93,38.630075,8.924049,40,15774,multimedia
1495,73.6410211771,1495501,1.06,0.99755,1.057327,10,29885,multimedia
1493,90.3437878329,1493149,1.02,0.851743,1.019308,10,29834,multimedia
1494,78.8035532194,1494609,6.22,164.07549,6.211511,9,30140,multimedia
1494,82.4196578493,1494325,7.96,218.807554,7.954655,8,30210,multimedia
1491,93.8988817825,1491837,19.97,597.733451,19.947261,33,31288,multimedia
1489,100.299551345,1489809,1.07,2.256569,1.073174,16,31346,multimedia
1488,108.115678789,1488917,1.09,2.479406,1.092326,43,31259,multimedia
1488,108.115678789,1488917,1.08,2.481935,1.076338,16,31173,multimedia
1488,108.452754691,1488633,1.08,2.229744,1.081224,38,31346,multimedia
1488,105.74497624,1488917,27.35,831.336266,27.318915,20,31173,multimedia
1494,100.154880061,1494757,1.17,3.337089,1.173218,22,30294,multimedia
1490,98.6154146166,1490377,1.21,5.958248,1.207303,36,31201,multimedia
1492,89.6381615162,1492729,1.3,4.008392,1.296963,7,30294,multimedia
1488,108.452754691,1488633,1.1,2.679042,1.096379,27,31173,multimedia
1492,90.0610903776,1492445,16.1,473.011511,16.088273,18,31317,multimedia
1487,114.847725271,1487173,1.1,2.796695,1.103607,15,31144,multimedia
1489,106.855041996,1489809,1.09,2.249687,1.088063,24,31288,multimedia
1490,101.631687972,1490093,1.4,10.685392,1.402185,26,31317,multimedia
1491,90.9065454189,1491877,1.12,2.317844,1.118436,13,31346,multimedia
1492,90.4820424173,1492161,1.22,3.039263,1.223533,11,31230,multimedia
1488,108.793382152,1488349,1.19,2.659181,1.19137,26,31230,multimedia
1490,91.7169559024,1490985,1.13,3.505086,1.132431,15,31346,multimedia
1490,93.0913529819,1490377,1.25,7.121406,1.244207,19,31346,multimedia
1494,84.243694126,1494189,1.11,2.112904,1.107379,20,30294,multimedia
1487,112.294256309,1487457,1.09,2.442863,1.092944,45,31346,multimedia
1490,101.262036322,1490377,2.16,36.118031,2.153831,38,31346,multimedia
1491,96.5608616366,1491837,1.13,3.628914,1.125603,32,31288,multimedia
1493,89.2076229927,1493013,1.08,2.058472,1.080841,28,31317,multimedia
1491,91.7387595294,1491269,1.11,3.157134,1.109064,28,30294,multimedia
1490,96.9639108122,1490377,1.14,4.139076,1.138598,17,31317,multimedia
1491,92.043467992,1491837,1.67,20.500301,1.666391,37,30294,multimedia
1491,94.302704097,1491553,1.13,2.398533,1.129407,26,30294,multimedia
1488,108.793382152,1488349,1.09,2.308071,1.08903,29,31346,multimedia
1491,92.4553946506,1491553,1.35,10.355886,1.34893,17,30294,multimedia
1489,97.7394495585,1489809,1.4,12.215559,1.399254,22,31346,multimedia
1490,97.3498844375,1490093,1.12,3.357555,1.123059,30,31346,multimedia
1491,92.4553946506,1491553,1.09,2.410626,1.088747,27,30294,multimedia
1488,108.452754691,1488633,1.07,2.150171,1.073328,33,30294,multimedia
1488,106.503521069,1488917,1.07,2.030344,1.070909,22,31230,multimedia
1490,103.735239914,1490377,1.21,5.897484,1.209749,15,30294,multimedia
1490,96.9639108122,1490377,1.1,2.782497,1.097781,32,30294,multimedia
1491,93.8988817825,1491837,1.39,5.75217,1.388624,23,31201,multimedia
1491,97.3396116697,1491269,13.91,406.309292,13.896006,24,31201,multimedia
1492,90.0610903776,1492445,1.42,12.872594,1.421846,13,31317,multimedia
1490,98.4987309563,1490377,1.23,6.840157,1.228564,31,30294,multimedia
1489,99.8899394334,1489809,1.96,6.849811,1.957674,27,30294,multimedia
1488,108.452754691,1488633,1.36,10.56042,1.358032,15,30294,multimedia
1490,98.4987309563,1490377,1.09,2.58214,1.093087,39,31201,multimedia
1488,108.452754691,1488633,1.11,2.884051,1.112215,30,30322,multimedia
